                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Character,DelayAtEnd,Expression,French,English,German,Spanish,Brasilian,Chinese,Italian,Russian,Korean,Japanese
ReceptionMail04,,,,"rpG-Gps alpha bug\n\nHello dev,\n\nOn a un problème de fichier avec la dernière version.\nTu as un correctif ?\n\nL'équipe QA","rpG-Gps alfa bug\n\nSelam geliştirici,\n\nSon versiyonda bir dosya problemimiz var.\nHerhangi bir çözümün var mı?\n\nKalite Kontrol Takımı","rpG-Gps alpha bug\n\nHi Entwickler,\n\nwir haben ein Datei-Problem in der letzten Version.\nHast du eine Lösung?\n\nDas Q&A-Team","rpG-Gps alpha bug\n\nHola, desarrollador:\n\nTenemos un problema con un archivo de la última versión.\n¿Alguna solución?\n\nEl equipo de control de calidad","rpG-Gps alpha bug\n\nOlá, desenvolvedor,\n\nNós temos um problema de arquivo na última versão.\nVocê tem um arquivo de correção?\n\nEquipe de controle de qualidade",rpG-Gps alpha bug\n\n你好，开发员，\n\n我们的最新版本中有一个文件问题。你有解决办法吗？\n\nQA团队,"rpG-Gps alpha bug\n \nCiao Dev,\n \nabbiamo un problema di file nell'ultima versione.\nHai una soluzione?\n \nIl team di QA","Альфа баг rpG-Gps\n\nПривет, разработчик,\n\nУ нас проблема с файлами в последней версии.\nУ тебя есть фикс?\n\nКоманда QA","rpG-Gps 알파 버그\n \n안녕하세요 개발자님,\n \n최신 버전에 파일 문제가 있습니다.\n픽스 주실 수 있을까요?\n \nQA 팀",rpG-Gpsアルファ版のバグ\n  \n開発者さま\n  \n最新バージョンでファイルに問題が起きています。\n修正パッチはありますか？\n  \nQAチームより
ReceptionMail05_1,,,,HomE :\n\nVotre code de connexion est :,Ev :\n\nGiriş kodunuz:,HomE:\n\nIhr Login-Code ist:,HomE:\n\nSu código de inicio de sesión es:,HomE:\n\nO seu código de acesso é:,HomE :\n\n你的登入码是：,HomE:\n \ntuo codice di accesso è:,HomE :\n\nВаш логин:,HomE :\n \n귀하의 로그인 코드는:,HomE :\n  \nあなたのログインコードは：
ReceptionMail05_2,,,,"\nVotre maison est maintenant correctement synchronisée avec ce nouveau code.\n\nMerci d’avoir choisi HomE, l’application numéro 1 en habitation intelligente.\n(Également la seule disponible.)","\nEviniz yeni kodunuzla şimdi senkronize edildi.\n\nEv uygulamasını, #1 akıllı ev uygulaması, tercih ettiğiniz için teşekkürler.\n(Aynı zamanda tek akıllı ev uygulaması.)","\nIhr Haus ist nun korrekt mit dem neuen Code synchronisiert.\n\nVielen Dank, dass Sie sich für HomE, das führende Smart-Home-Programm, entschieden haben.\n(Und gleichzeitig das einzige.)","\nSu casa está ahora sincronizada correctamente usando el nuevo código.\n\nGracias por elegir HomE, la aplicación para el hogar inteligente n.º 1\n(y también la única que hay).","\nAgora a sua casa está atualmente sincronizada usando o novo código.\n\nObrigado por usar HomE, o aplicativo de casa inteligente Nº 1.\n(E também o único disponível).",你的房子现已运用新代码正确地同步了。\n\n感谢你选择智能家居第一应用HomE，\n（并且是唯一一款。）,"La tua casa è ora correttamente sincronizzata con il nuovo codice.\n \nGrazie per aver scelto HomE, l'applicazione per la casa intelligente numero 1.\n(Anche l'unica disponibile)","\nВаш дом теперь корректно синхронизирован с помощью нового кода.\n\nСпасибо, что выбрали HomE - самую умную домашнюю систему*.\n(*Единственную доступную.)",\n귀하의 집이 현재 새로운 코드에 동화되었습니다.\n \n#1 스마트 가정 어플리케이션인 HomE을 선택해주셔서 감사합니다.\n(유일한 어플이지만요.),あなたの家はこの新しいコードで正常に同期されました。\n  \nスマートホームアプリランキング1位「HomE」のご利用ありがとうございます。\n(※同カテゴリ唯一のアプリでもあります)
SentMail01,,,,"RE : rpG-Gps alpha bug\n\nHello,\n\nJe ne sais pas pourquoi ce fichier a disparu. C’est bizarre.\nVoici un patch pour corriger le problème.","RE: rpG-Gps alfa bug\n\nHey,\n\nBu dosyanın neden kaybolduğunu anlamadım. Bu garip.\nİşte sorunu çözecek yama.","RE: rpG-Gps alpha bug\n\nHey,\n\nich habe keine Ahnung, warum die Datei fehlt. Das ist seltsam.\nHier ist ein Patch, um das Problem zu beheben.",RE: rpG-Gps alpha bug\n\nHola:\n\nNo sé por qué falta este archivo. Me extraña.\nAquí va un parche para solucionar el problema.,"RE: rpG-Gps alpha bug\n\nEi,\n\nEu não sei por que esse arquivo está faltando. Isso é estranho.\nAqui vai um patch para corrigir o problema.",RE: rpG-Gps alpha bug\n\n你好，\n\n我不知道这个文件为什么丢失。奇了怪了。\n这儿有一个补丁可解决这个问题。,"RE: rpG-Gps alpha bug\n  \nEhi,\n  \nnon so perché manchi questo file, è strano.\nEcco una patch per risolvere il problema.","RE: Альфа баг rpG-Gps\n\nПривет,\n\nЯ не знаю, почему этот файл пропал. Оч странно.\nВот патч, который исправит проблему.","RE: rpG-Gps 알파 버그\n \n안녕하세요,\n \n왜 파일이 없어졌는지 모르겠어요. 신기하네요.\n문제에 대한 패치 파일을 보냅니다.",RE: rpG-Gpsアルファ版のバグ\n  \n連絡どうも。\n  \nなぜかファイルが1つ消えてました。変だな。\nこのパッチで問題は修正されるはずです。
SentMail02,,,,RE : RE : rpG-Gps alpha bug\n\nHum. Le patch semble avoir un problème.\nVoici un patch à lancer pour corriger le précédent patch qu’il faudra lancer de nouveau.,RE: RE: rpG-Gps alfa bug\n\nHmm. Yamada problem varmış gibi görünüyor.\nİşte önceki yamayı çalıştırabilmen için gereken yeni yama.,"RE: RE: rpG-Gps alpha bug\n\nHmm. Es scheint ein Problem mit dem Patch zu geben.\nHier ist ein Patch, um den vorherigen Patch zu reparieren, der nochmal ausgeführt werden muss.","RE: RE: rpG-Gps alpha bug\n\nHum. Parece que hay un problema con el parche.\nAquí va un parche que hay que ejecutar para corregir el parche anterior, el cual habrá que ejecutar nuevamente.","RE: RE: rpG-Gps alpha bug\n\nHmm. Parece que tem um problema com o patch.\nAqui está um patch para corrigir o patch anterior, que terá que ser executado novamente.",RE: rpG-Gps alpha bug\n\n嗯。补丁貌似有问题。\n这里有一个补丁要运行，用它修复上一个补丁，并让它重新运行。,"RE: RE: rpG-Gps alpha bug\n  \nHmm. Sembra esserci un problema con la patch.\nEcco una patch da eseguire per risolvere la patch precedente, che dovrà essere eseguita di nuovo.","RE: RE: Альфа баг rpG-Gps\n\nХмм. Похоже, проблема с патчем.\nВот патч, который нужно запустить, чтобы исправить предыдущий патч, который нужно будет запустить снова.",RE: RE: rpG-Gps 알파 버그\n \n흠. 패치에 문제가 있는 거 같네요.\n이전 패치를 고치는 패치를 보냅니다. 다시 시작해야 할 거예요.,RE: RE: rpG-Gpsアルファ版のバグ\n  \nうーん。前回のパッチは不具合があるみたいです。\n添付したパッチを起動して、前回のパッチを修正してください。それで起動できるようになるはず。
SentMail03,,,,RE : RE : RE : rpG-Gps alpha bug\n\nCette fois ça devrait être bon.\nVoici le patch qui corrige le patch précédent.\nPensez bien à lancer chaque patch dans le bon ordre sinon ça ne fonctionnera pas.\n\nDésolé. Je suis pas vraiment codeur en fait...,RE: RE: RE: rpG-Gps alfa bug\n\nBu çalışmak zorunda.\nİşte önceki yamayı düzelten yama.\nTüm yamaları doğru sırayla çalıştırdığınızdan emin olun yoksa işe yaramaz.\n\nÜzgünüm. Ben aslında pek de kodlamacı değilim...,"RE: RE: RE: rpG-Gps alpha bug\n\nDer hier sollte funktionieren.\nHier ist ein Patch, der den vorherigen Patch repariert.\nStelle sicher, dass die Patches in der richtigen Reihenfolge ausgeführt werden, damit sie funktionieren.\n\nSorry. Ich bin eigentlich gar kein Programmierer ...","RE: RE: RE: rpG-Gps alpha bug\n\nEste debería funcionar.\nAquí va un parche para arreglar el parche anterior.\nHay que cerciorarse de ejecutar los parches por el orden correcto o no funcionará.\n\nPerdón. De hecho, no soy programador en realidad...","RE: RE: RE: rpG-Gps alpha bug\n\nEsse aqui deve funcionar.\nAqui está um patch para corrigir o patch anterior.\nCertifique-se de usar cada patch na ordem correta ou não irá funcionar.\n\nDesculpa. Na verdade, eu não sou um programador...",RE: RE: RE: rpG-Gps alpha bug\n\n这次应该能行了。\n这儿有一个补丁，可修复上一个补丁。\n请确保以正确的顺序启动每个补丁，否则将行不通。\n\n抱歉。其实我并不是真正的编码员...,"RE: RE: RE: rpG-Gps alpha bug\n  \nQuesto dovrebbe funzionare.\nEcco una patch per correggere la patch precedente. \nLanciate ogni patch nel giusto ordine o non funzionerà. \n  \nMi dispiace. Non sono un vero programmatore, in realtà...","RE: RE: RE: Альфа баг rpG-Gps\n\nЭтот должен сработать.\nВот тебе патч, который исправит предыдущий патч.\nОбязательно запускай каждый патч в правильном порядке, иначе всë слетит.\n\nПрости. Я правда не кодер...",RE: RE: RE rpG-Gps 알파 버그\n \n이제 잘 될 겁니다.\n이전 패치를 고치는 패치입니다.\n제대로 된 순서대로 실행하지 않으면 작동 안 할 거예요.\n \n죄송합니다. 제대로 코딩을 안 배워서...,RE: RE: RE: rpG-Gpsアルファ版のバグ\n  \n今度こそ直るはず。\n前回のパッチを修復するパッチを添付しました。\nパッチを正しい順に起動しないとうまくいかないので気を付けて。\n  \nすみません。俺はプログラマじゃないので…
MailScreenPatch,,,,PATCH,YAMA,PATCH,PATCH,PATCH,补丁,PATCH,ПАТЧ,패치,パッチ
MailScreenCorruptPatch,,,,Patch corrompu,Bozuk yama,Beschädigter Patch,Parche dañado,Patch corrompido,受损补丁,Patch corrotta,Повреждëнный патч,잘못된 패치,破損したパッチ
MailScreenPatchApplied,,,,Le patch a correctement été appliqué.,Yama başarılı bir şekilde uygulandı.,Der Patch wurde erfolgreich implementiert.,El parche se ha implementado correctamente.,O patch foi instalado corretamente.,补丁已正确执行。,La patch è stata implementata correttamente.,Патч был успешно установлен.,패치가 올바르게 설치되었습니다.,パッチは正常に\n適用されました。
MailScreenPatchAlreadyApplied,,,,Patch déjà appliqué.,Yama zaten uygulanmış.,Patch ist bereits implementiert.,Parche ya implementado.,Esse patch já foi instalado.,补丁已执行。,Patch già implementata.,Патч уже установлен.,패치가 이미 설치되었습니다.,パッチはすでに\n適用されています。
MailScreenPatchFinished,,,,L'application RPG-GPS est réparée.,RPG-GPS uygulaması tamir edildi.,Das RPG-GPS-Programm ist repariert.,La aplicación RPG-GPS está reparada.,O aplicativo RPG-GPS foi corrigido.,RPG-GPS应用已修复。,L’applicazione RPG-GPS è stata corretta.,Приложение RPG-GPS исправлено.,RPG-GPS 어플리케이션이 수리되었습니다.,RPG-GPSアプリケーションは修復されました。
HomeScreenCodeTitle,,,,Veuillez entrer votre code de connexion:,Lütfen giriş kodunuzu girin:,Bitte geben Sie Ihren Login-Code ein:,"Por favor, introduzca su código de inicio de sesión:","Entre o seu código de acesso, por favor:",请输入你的登入码：,Inserisci il tuo codice di accesso:,"Пожалуйста, введите свой логин:",로그인 코드를 입력해주세요:,ログインコードを入力：
HomeScreenIncorrectCode,,,,Code incorrect,Kod yanlış,Code fehlerhaft,Código incorrecto,Código incorreto,代码不正确,Codice errato,Неверный код,코드 불일치,コードが違います
HomeScreenResetCode,,,,Réinitialiser le code ?,Kodu sıfırla?,Code zurücksetzen?,¿Desea restablecer el código?,Resetar código?,重设代码？,Resettare il codice?,Сбросить код?,코드를 초기화 할까요?,コードをリセット？
HomeScreenNeedInternet,,,,La récupération du code nécessite une connexion internet.,Kod yenileme bir internet bağlantısı gerektirir.,Code-Wiederherstellung erfordert eine Internet-Verbindung.,La recuperación de código requiere una conexión a Internet.,A recuperação do código requer uma conexão com a internet.,代码恢复需要网络连接。,Il reset del codice richiede una connessione a Internet.,Для восстановления кода требуется подключение к Интернету.,코드 복구에는 인터넷 연결이 필요합니다.,コード再発行にはインターネット接続が必要です。
HomeScreenEmailSent,,,,Email de récupération envoyé.,Kurtarma maili gönderildi.,Wiederherstellungs-E-Mail gesendet.,Se ha enviado el correo electrónico de recuperación.,E-mail de recuperação enviado.,恢复邮件发送了。,Email di recupero inviata.,Письмо с паролем отправлено на почту.,복구 이메일 전송.,再設定メールを\n送信しました。
HomeScreenEmailAlreadySent,,,,Email de récupération déjà envoyé.,Kurtarma maili zaten gönderilmiş.,Wiederherstellungs-E-Mail wurde bereits gesendet.,Ya se ha enviado el correo electrónico de recuperación.,O e-mail de recuperação já foi enviado.,恢复邮件已经发送。,Email di recupero già inviata.,Письмо с паролем уже отправлено.,이미 복구 이메일을 전송했습니다.,再設定メールは\n送信済みです。
HomeScreenHeat,,,,Chauffage,Isıtma,Heizung,Calefacción,Aquecedor,供暖,Riscaldamento,Отопление,온도,暖房
HomeScreenLight,,,,Lumière,Aydınlatma,Beleuchtung,Luces,Iluminação,照明,Illuminazione,Освещение,조명,照明
HomeScreenCoffee,,,,Café,Kahve,Kaffee,Café,Café,咖啡,Caffè,Кофе,커피,コーヒー
HomeScreenCoffeeLong,,,,LONG,LUNGO,GROSS,LARGO,LONGO,咖啡Lungo,LUNGO,ЛОНГ,롱,ロングブラック
HomeScreenCoffeeShort,,,,EXPRESSO,ESPRESSO,ESPRESSO,EXPRESO,EXPRESSO,浓缩咖啡,ESPRESSO,ЭСПРЕССО,에스프레소,エスプレッソ
HomeScreenCoffeeSugar,,,,SUCRÉ,ŞEKERLİ,ZUCKER,AZÚCAR,AÇÚCAR,加糖,ZUCCHERO,САХАР,설탕,砂糖入り
HomeScreenCoffeeNoSugar,,,,SANS SUCRE,SADE,ZUCKERFREI,SIN AZÚCAR,SEM AÇÚCAR,不加糖,SENZA ZUCCHERO,БЕЗ САХАРА,무설탕,砂糖抜き
HomeScreenCoffeeSweetener,,,,ÉDULCORANT,TATLANDIRICILI,SÜSSSTOFF,EDULCORANTE,ADOÇANTE,甜味剂,DOLCIFICANTE,ПОДСЛАСТИТЕЛЬ,감미료,甘味料
HomeScreenCoffeeIntense,,,,CORSÉ,KUVVETLİ,STARK,FUERTE,FORTE,浓,FORTE,КРЕПКИЙ,스트롱,ストロング
HomeScreenCoffeeLatte,,,,LATTE,LATTE,LATTE,CON LECHE,LATTE,拿铁,MACCHIATO,ЛАТТЕ,라떼,ラテ
HomeScreenCoffeeDeca,,,,DECA,KAFEİNSİZ,DECAF,DESCAFEINADO,DESCAFEINADO,无因,DECA,ДЕКАФ,카페인 무첨가,デカフェ
HomeScreenCoffeePrepare,,,,LANCER LA PREPARATION,HAZIRLA,VORBEREITEN,PREPARAR,PREPARAR,制作,PREPARA,ПРИГОТОВИТЬ,커피 내리기,抽出
HomeScreenLightBoost,,,,MODE BOOST,BOOST MODU,BOOST-MODUS,MODO EXTRA,MODO BOOST,强化模式,MODALITÀ BOOST,РЕЖИМ BOOST,부스트 모드,ブーストモード
HomeScreenLightOn,,,,ALLUMER,AÇIK,AN,ENCENDER,LIGADO,开,ACCESO,ВКЛ.,ON,ON
HomeScreenLightOff,,,,ETEINDRE,KAPALI,AUS,APAGAR,DESLIGADO,关,SPENTO,ВЫКЛ.,OFF,OFF
HomeScreenOverheating,,,,Surchauffe !,Aşırı ısınma!,Überhitzt!,¡Sobrecalentamiento!,Sobreaquecimento!,过热！,Surriscaldamento!,Перегрев!,과열!,オーバーヒート！\n
HomeScreenSystemAbord,,,,\nArrêt du système.,\nSistem çöktü.,\nSystemabschaltung.,\nApagado del sistema.,\nSistema desligando.,\n系统关闭。,\nSpegnimento del sistema.,\nВыключение системы.,시스템이 종료됩니다.,システムシャットダウン
HomeScreenAnomaly,,,,Anomalie !,Anomali!,Anomalie!,¡Anomalía!,Anomalia!,异常！,Anomalia!,Аномалия!,이상현상 감지됨!,異常事態！
BackVideoMsg,,,,CAMERA,KAMERA,KAMERA,CÁMARA,CÂMERA,相机,TELECAMERA,КАМЕРА,카메라,カメラ
Chap06c_LockHint01,,,,"Si vous avez besoin d'aide, demandez de l'aide et le code viendra à vous.","Eğer yardıma ihtiyacın olursa yardım iste, kod sana gelecek.","Wenn du Hilfe brauchst, bitte um Hilfe und der Code kommt zu dir.","Si necesitas ayuda, pídela y te llegará el código.","Se você precisa de ajuda, peça e o código virá até você.",如果你需要帮助，就请求帮助，代码会出现在你面前。,"Se hai bisogno di aiuto, chiedi aiuto e il codice arriverà.","Если вам нужна помощь, обратитесь за ней, и вы увидите код.","도움이 필요하다면, 도움을 청하세요. 코드가 나타날 거예요.",ヘルプを求めよ、\nさらばコードはなんじに与えられん。
Chap06c_LockHint02,,,,"En cliquant sur le bouton '?', en haut à gauche, vous aurez la solution en trois lettres.","Eğer en üst sol taraftaki ""?"" butonuna basarsan üç harfli cevabı alacaksın.","Wenn du auf die „?“-Schaltfläche links oben klickst, bekommst du die Lösung in drei Buchstaben.","Si haces clic en el botón ""?"" de arriba a la izquierda, obtendrás la solución en tres letras.","Se você clicar no botão “?” no canto superior esquerdo, você receberá a solução em três letras.",如果你点击左上的“？”，你将得到三个字母的答案。,"Se clicchi sul pulsante ""?"" in alto a sinistra, otterrai la soluzione in tre lettere.","Если нажать на кнопку ""?"" в левом верхнем углу, то появится решение, состоящее из трёх букв.","좌측 상단에 있는 ""?"" 버튼을 눌러보세요. 세 문자로 해결책이 나타날 거예요.",左上の？ボタンをクリックすれば、\n答えが３文字で現れる。
Chap06c_LockHint03,,,,"Reproduisez avec le pavé numérique les lettres L, O et L.","Butonları kullanarak L, O ve L harflerini oluştur.","Nutze das Tastenfeld, um die Buchstaben L, O und L zu schreiben.","Usa el teclado numérico para formar las letras L, O y L.","Use o teclado para escrever as letras L, O e L.",用小键盘拼字母L、O、和L。,"Utilizza il tastierino per creare le lettere L, O e L.","Используйте графический ключ, чтобы сделать буквы L, O и L.","키패드에 L,O,L을 입력해보세요.",キーパッドでＬ、Ｏ、Ｌの文字を作れ。
Chap06c_LockKeyHint01,,,,Les trois lettres du code peuvent être déplacées. Mais où ?,Bu koddaki 3 harf bir yere koyulabilir. Ama nereye?,Die drei Buchstaben im Code können bewegt werden. Aber wohin?,"Las tres letras del código se pueden mover, pero ¿dónde?",As três letras do código podem ser movidas. Mas onde?,代码里的这三个字母可以移动。但移到哪里？,Le tre lettere del codice possono essere spostate. Ma dove?,Три буквы в коде можно перемещать. Но куда?,코드로 쓰인 3개의 문자를 이동시킬 수 있어요. 어디로 이동시켜야 할까요?,コードの３つの文字は動かせるようだ。\nだが、どこに？
Chap06c_LockKeyHint02,,,,Essayez de construire la clé à l'aide des trois lettres du code.,Koddaki 3 harfi kullanarak anahtar oluşturmaya çalış.,"Versuche, den Schlüssel aus den drei Buchstaben im Code zu bauen.",Intenta crear la clave con las tres letras del código.,Tente construir a chave com as três letras do código.,试着用代码的三个字母制作钥匙。,Cerca di costruire la chiave a partire dalle tre lettere del codice.,Попробуйте составить ключ из трёх букв.,코드로 쓰인 3개의 문자로 열쇠를 만들어보세요.,コードの３つの文字で\nカギの形を作ってみろ。
Chap06c_RPGHint01,,,,"Cette application a besoin d'être réparée. Pour cela, il va falloir appliquer un patch.",Bu uygulamanın tamir edilmesi gerek. Yamaları uygulamamız lazım.,Dieses Programm muss repariert werden. Wir müssen einen Patch ausführen.,Hay que reparar esta aplicación. Tendremos que aplicar un parche.,Esse aplicativo precisa ser corrigido. Nós precisaremos aplicar um patch.,这个应用需要修复。我们将需要应用一个补丁。,Questa applicazione deve essere corretta. Dovremo applicare una patch.,Это приложение нужно исправить. Нужно установить патч.,어플리케이션을 수리해야 해요. 패치를 적용해야 해요.,このアプリケーションは修正が必要だ。パッチを適用しないと。
Chap06c_RPGHint02,,,,Vous trouverez probablement une solution dans les emails de ce téléphone.,Muhtemelen çözümü telefondaki maillerde bulacaksın.,Du findest vielleicht eine Lösung in den E-Mails auf diesem Telefon.,Probablemente se encuentre una solución en los correos electrónicos de este teléfono.,Você provavelmente encontrará a solução nos e-mails desse telefone.,你也许会在这个电话上的邮件里找到一个解决办法。,Probabilmente troverai una soluzione nelle e-mail di questo telefono.,"Скорее всего, вы найдёте решение в электронных письмах этого телефона.",이 전화기에 있는 이메일에서 해결책을 찾을 수 있을 거예요.,答えはたぶん、この携帯の\nメールの中に見つかるはずだ。
Chap06c_RPGHint03,,,,"Lisez les e-mails envoyés et appliquez les patchs, en pièces jointes, dans cet ordre : 3,2 et 1.",Gönderilmiş mailleri oku ve ekler kısmındaki yamaları 3.-2.-1. sırasında çalıştır.,"Lies die gesendeten E-Mails und führe die Patches aus den Anhängen in dieser Reihenfolge aus: 3, 2, 1.","Es preciso leer los correos electrónicos enviados y aplicar los parches de los archivos adjuntos por este orden: 3, 2, 1.","Leia os e-mails enviados e instale os patches, em anexo, na seguinte ordem: 3, 2, 1.","读取已发送的邮件，按照3,2,1的顺序，应用附件中的补丁。","Leggi le e-mail inviate e applica le patch negli allegati, in questo ordine: 3, 2, 1.","Ознакомьтесь с отправленными письмами и установите патчи в следующем порядке: 3, 2, 1.","보낸 이메일을 읽고 패치를 적용하세요. 3, 2, 1 순서대로요.",送信済メールに添付されているパッチを\n3、2、1の順に適用しよう。
Chap06c_HomeHint01,,,,Avez-vous essayé d'entrer un code au hasard ? Cela devrait vous offrir une solution de repli.,Rastgele bir kod girmeyi denedin mi? Bu sana bir çıkış yolu göstermeli.,"Hast du versucht, einen zufälligen Code einzugeben? Damit solltest du einen Plan B haben.",¿Has intentado meter un código al azar? Eso debería proporcionarte un plan alternativo.,Você tentou digitar um código aleatório? Isso deve te dar um plano B.,你有没有试过输入一个随机的代码，这应该能给你一个后备方案。,Hai provato a inserire un codice a caso? Questo dovrebbe fornirti una soluzione alternativa.,Вы пробовали ввести случайный код? Вдруг сработает.,아무 코드나 입력해봤나요? 그러면 백업이 가능해질 거예요.,何か適当なコードを入れてみたか？\n再発行ができるようになるはずだ。
Chap06c_HomeHint02,,,,"En entrant un mauvais code, vous pouvez demander l'envoi d'un nouveau par e-mail",Eğer hatalı kod girersen mail yoluyla yeni bir kod isteyebilirsin.,"Wenn du den falschen Code eingibst, kannst du einen neuen Code per E-Mail beantragen.","Si introduces el código equivocado, puedes solicitar recibir uno nuevo por correo electrónico.","Se você digitar o código errado, pode pedir para receber um novo código por e-mail.",如果你输入了错误的代码，你可以通过电子邮件要求收到一个新代码。,"Se inserisci il codice sbagliato, è possibile chiedere di ricevere un nuovo codice via e-mail.","Если вы введёте неправильный код, вы можете попросить прислать новый код по электронной почте.","잘못된 코드를 입력하면, 이메일로 코드를 받을 수 있어요.",入れたコードがまちがっていても、\nメールで新しいコードを受け取れる。
Chap06c_MakeCoffeeHint01,,,,Le créateur du jeu semble ne vouloir boire un café que s'il fait frais. Baissez la température !,Yaratıcı sadece soğuk havada kahve içmek istiyor. Odanın sıcaklığını düşür!,"Der Schöpfer scheint nur Kaffee trinken zu wollen, wenn es hier drin kalt ist. Senke die Temperatur!",Parece que el creador solo quiere tomar café si aquí hace frío. ¡Baja la temperatura!,O criador parece querer tomar café só se a temperatura estiver fria. Abaixe a temperatura!,创作者貌似只想在天冷的时候喝咖啡。把温度降低！,Il creatore sembra voler bere caffè solo se fa freddo. Abbassa la temperatura!,Создатель будет пить кофе только если здесь холодно. Уменьшите температуру!,제작자가 추우면 커피를 마시고싶어 할 거예요. 온도를 떨어뜨려봅시다!,作者は部屋が寒いとコーヒーが飲みたく\nなるようだ。室温を下げろ！
Chap06c_MakeCoffeeHint02,,,,"Il aime les longs cafés sucrés sans caféine. Par contre il déteste quand c'est trop ""fort"".","O; şekerli, lungo ve kafeinsiz kahveleri seviyor. Ama çok ""kuvvetli"" olmasından nefret ediyor.","Er mag große, süße Kaffeegetränke ohne Koffein. Er hasst es jedoch, wenn sie zu „stark“ sind.","Le gusta el café largo y dulce sin cafeína y no le gusta nada que esté demasiado ""fuerte"".",Ele gosta de um café longo e doce sem qualquer cafeína. Mas ele odeia quando está “forte” demais.,他喜欢加糖的无因lungo咖啡。但他也不喜欢太“浓”的。,"Gli piace il caffè lungo e dolce senza caffeina Odia quando è troppo ""forte"".","Он любит сладкий лонг кофе, но без кофеина. И ещё он ненавидит, когда он слишком крепкий.","제작자는 롱에, 달고 카페인이 없는 커피를 좋아해요. 향이 너무 ""강하면"" 싫어할 거예요.",作者はロングで砂糖入り、\nカフェイン抜きのコーヒーが好きだ。\nただし「ストロング」は嫌いだ。
Chap06c_MakeCoffeeHint03,,,,Essayez de lui verser un expresso corsé sans sucre.,Ona kuvvetli ve şekersiz bir espresso göndermeyi dene.,"Versuche, ihm einen starken, zuckerfreien Espresso auszugeben.",Intenta ponerle un expreso bien fuerte y sin azúcar.,"Tente servir um café expresso, forte e sem açúcar para ele.",试着给他倒一杯浓郁的无糖浓缩咖啡。,Prova a preparargli un espresso forte e senza zucchero.,Попробуйте налить ему крепкий эспрессо без сахара.,"향이 강하고, 설탕 없는 에스프레소를 부어보세요.",作者にストロングで砂糖抜きの\nエスプレッソを出してみろ。
Chap06c_WakeUpHint01,,,,Il faudrait un son puissant pour le réveiller. Essayez de déclencher une alarme.,Onu uyandırmak için büyük bir gürültü gerekli. Bir alarmı çalıştırmayı dene.,"Es wird ein lautes Geräusch brauchen, um ihn zu wecken. Versuche, einen Alarm auszulösen.",Hará falta un ruido fuerte para despertarlo. Intenta activar una alarma.,Será preciso um som bem alto para acordá-lo. Tente disparar um alarme.,要足够吵，才能把他叫醒。让警报铃响起。,Ci vorrà un suono forte per svegliarlo. Prova a far scattare un allarme.,"Потребуется громкий звук, чтобы разбудить его. Попробуйте включить будильник.",깨우려면 큰 소리가 필요할 거예요. 알람을 꺼보세요.,大きな音を出さないと起きそうにない。\nアラームを鳴らしてみよう。
Chap06c_WakeUpHint02,,,,"Si la température de la pièce est trop élevée, l'application HOME activera une sécurité.","Eğer sıcaklık çok yükselirse, EV uygulaması güvenlik özelliklerini çalıştıracak.","Wenn die Temperatur zu hoch ist, aktiviert das HomE-Programm das Sicherheits-Feature.","Si la temperatura es demasiado alta, la aplicación HOME activará la función de seguridad.","Se a temperatura estiver alta demais, o aplicativo HOME acionará o recurso de segurança.",如果温度太高，HOME应用将启用安全装置。,"Se la temperatura è troppo alta, l'applicazione HOME attiverà la funzione di sicurezza.","Если температура слишком высокая, приложение HOME активирует режим безопасности.","온도가 너무 높으면, HOME 어플리케이션이 안전 기능을 활성화할 거예요.",室温が高くなりすぎると、HOMEアプリのセーフティ機能が働くはずだ。
Chap06c_WakeUpHint03,,,,"Il vous manque 5 degrés celsius ? Le mode ""BOOST"" de l'halogène devrait faire l'affaire.","Hala 5 derece eksik mi var? Halojen ışıktaki ""BOOST"" modu işi görecektir.",Es fehlen immer noch 5 Grad Celsius? Der „BOOST“-Modus der Halogen-Beleuchtung sollte helfen.,"¿Aún te faltan 5 grados Celsius? El modo ""EXTRA"" del halógeno debería servir.",Ainda faltam 5 graus Celsius? O modo “BOOST” na lâmpada de halogêneo deve dar conta do recado.,你还差5摄氏度吗？卤素灯上的“强化”模式应该能够搞得定。,"Ti mancano ancora 5 gradi Celsius? La modalità ""BOOST"" sulla luce alogena dovrebbe servire.",Всё ещё не хватает 5 градусов? Режим BOOST на галогенной лампе должен помочь.,"5도 정도가 아직 부족한가요? ""부스트"" 모드를 켜면 될 거예요.",室温をあと５度上げたい？ ハロゲンランプを「ブースト」モードにすればいい。
Chap06c_CallCreator01,,,,Passez-lui donc un petit coup de fil !,Neden onu aramayı denemiyorsun?,"Warum versuchst du nicht, ihn anzurufen?",¿Por qué no intentas llamarle?,Por que você não tentar ligar pra ele?,你为什么不试着给他打电话？,Perché non provi a chiamarlo?,Почему бы не попробовать позвонить ему?,한 번 전화해 보는 건 어때요?,携帯に電話をかけてみたらどうだ？
